aircraft_name
Aerospatiale/Alenia ATR 42-300
Aerospatiale/Alenia ATR 42-500
Aerospatiale/Alenia ATR 42-600
Aerospatiale/Alenia ATR 72
Airbus A300-600
Airbus A310
Airbus A318
Airbus A319
Airbus A320
Airbus A321
Airbus A330
Airbus A330-200
Airbus A330-300
Airbus A340
Airbus A340-200
Airbus A340-300
Airbus A340-500
Airbus A340-600
Airbus A380
Airbus A380-800
Antonov AN-140
Antonov AN-24
Antonov An-148
Antonov An-158
Avro RJ100
Avro RJ85
BAe 146
BAe 146-100
BAe 146-200
BAe 146-300
Beechcraft 1900
Bell 212
Boeing 717
Boeing 737
Boeing 737-200
Boeing 737-300
Boeing 737-400
Boeing 737-500
Boeing 737-600
Boeing 737-700
Boeing 737-800
Boeing 737-900
Boeing 747
Boeing 747-400
Boeing 747SP
Boeing 757
Boeing 757-200
Boeing 757-300
Boeing 767
Boeing 767-200
Boeing 767-300
Boeing 767-400
Boeing 777
Boeing 777-200
Boeing 777-200LR
Boeing 777-300
Boeing 777-300ER
Boeing 787
Boeing 787-8
British Aerospace ATP
British Aerospace Jetstream 31
British Aerospace Jetstream 32
British Aerospace Jetstream 41
Canadair Regional Jet 1000
Canadair Regional Jet 200
Canadair Regional Jet 700
Canadair Regional Jet 900
Cessna 172
Cessna Citation CJ3
De Havilland Canada DHC-2 Beaver
De Havilland Canada DHC-6 Twin Otter
De Havilland Canada DHC-7 Dash 7
De Havilland Canada DHC-8-100 Dash 8 / 8Q
De Havilland Canada DHC-8-200 Dash 8 / 8Q
De Havilland Canada DHC-8-300 Dash 8
De Havilland Canada DHC-8-400 Dash 8Q
Douglas DC-9-30
Embraer 170
Embraer 175
Embraer 190
Embraer 195
Embraer EMB 110 Bandeirante
Embraer EMB 120 Brasilia
Embraer RJ140
Embraer RJ145
Fairchild Dornier 328JET
Fairchild Dornier Do.228
Fairchild Dornier Do.328
Fokker 100
Fokker 50
Fokker 70
Harbin Yunshuji Y12
Ilyushin IL114
McDonnell Douglas MD-11
McDonnell Douglas MD-82
McDonnell Douglas MD-83
McDonnell Douglas MD-87
McDonnell Douglas MD-88
McDonnell Douglas MD-90
Pilatus Britten-Norman BN-2A Mk III Trislander
Pilatus Britten-Norman BN-2A/B Islander
Pilatus PC-12
Piper PA-31 Navajo
Piper PA-46
Saab 2000
Saab SF340A/B
Shorts SD.360
Sikorsky S-76
Sukhoi Superjet 100-95
Tupolev Tu-134
Tupolev Tu-154
Tupolev Tu-204
Yakovlev Yak-40
Yakovlev Yak-42
